gate_version,asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at,kalshi_outcome,polymarket_outcome,payout,profit,settled_at
v2_kalshi_ask_fix,BNB,KXBNB15M-26SEP210815-15,bnb-updown-15m-1789992000,A,2026-09-21T12:00:00+00:00,2026-09-21T12:15:00Z,0.4665,0.4665,1.8568,2026-09-21T12:14:16.709322+00:00,up,down,0.0,-0.4665,2026-09-21T12:20:25.832580+00:00
v2_kalshi_ask_fix,HYPE,KXHYPE15M-26SEP220115-15,hype-updown-15m-1790053200,A,2026-09-22T05:00:00+00:00,2026-09-22T05:15:00Z,0.6935,0.6935,1.6444,2026-09-22T05:14:14.982659+00:00,up,down,0.0,-0.6935,2026-09-22T05:20:23.825800+00:00
v2_kalshi_ask_fix,HYPE,KXHYPE15M-26SEP222115-15,hype-updown-15m-1790125200,B,2026-09-23T01:00:00+00:00,2026-09-23T01:15:00Z,0.7832,,0.7832,2026-09-23T01:14:20.413678+00:00,down,up,0.0,-0.7832,2026-09-23T01:22:23.906030+00:00
v2_kalshi_ask_fix,HYPE,KXHYPE15M-26SEP230815-15,hype-updown-15m-1790164800,A,2026-09-23T12:00:00+00:00,2026-09-23T12:15:00Z,0.798,0.798,1.4595,2026-09-23T12:14:19.650622+00:00,up,down,0.0,-0.798,2026-09-23T12:18:21.441592+00:00
v2_kalshi_ask_fix,BTC,KXBTC15M-26SEP230830-30,btc-updown-15m-1790165700,B,2026-09-23T12:15:00+00:00,2026-09-23T12:30:00Z,0.5,1.5395,0.5,2026-09-23T12:29:27.035440+00:00,down,up,0.0,-0.5,2026-09-23T12:38:24.349513+00:00
v2_kalshi_ask_fix,BTC,KXBTC15M-26SEP240300-00,btc-updown-15m-1790233200,B,2026-09-24T07:00:00+00:00,2026-09-24T07:00:00Z,0.661,,0.661,2026-09-24T07:00:23.145211+00:00,down,down,1.0,0.339,2026-09-24T09:00:25.823005+00:00
v2_kalshi_ask_fix,DOGE,KXDOGE15M-26SEP240300-00,doge-updown-15m-1790233200,B,2026-09-24T07:00:00+00:00,2026-09-24T07:00:00Z,0.635,,0.635,2026-09-24T07:00:23.145211+00:00,down,down,1.0,0.365,2026-09-24T09:00:25.823005+00:00
v2_kalshi_ask_fix,BNB,KXBNB15M-26SEP240300-00,bnb-updown-15m-1790233200,A,2026-09-24T07:00:00+00:00,2026-09-24T07:00:00Z,0.4162,0.4162,,2026-09-24T07:00:23.145211+00:00,up,down,0.0,-0.4162,2026-09-24T09:00:25.823005+00:00
v2_kalshi_ask_fix,XRP,KXXRP15M-26SEP240845-45,xrp-updown-15m-1790253000,A,2026-09-24T12:30:00+00:00,2026-09-24T12:45:00Z,0.3744,0.3744,1.8531,2026-09-24T12:44:43.001011+00:00,up,down,0.0,-0.3744,2026-09-24T12:50:24.059487+00:00
v2_kalshi_ask_fix,BTC,KXBTC15M-26SEP260245-45,btc-updown-15m-1790404200,B,2026-09-26T06:30:00+00:00,2026-09-26T06:45:00Z,0.777,1.2699,0.777,2026-09-26T06:36:18.759384+00:00,down,down,1.0,0.223,2026-09-26T06:52:20.826244+00:00
